x,y
0.561952,0.0301217
1.0877,0.00493987
1.61346,-0.0202419
2.13921,-0.0454237
2.66496,-0.0706056
3.19071,-0.0957874
3.71647,-0.120969
4.84669,-0.197693
5.97691,-0.274417
7.10713,-0.351141
8.23735,-0.427866
9.36758,-0.50459
10.4978,-0.581314
11.0456,-0.604242
11.5933,-0.62717
12.1411,-0.650098
12.6889,-0.673027
13.2366,-0.695955
13.7844,-0.718883
14.3591,-0.720681
14.9338,-0.72248
15.5085,-0.724278
16.0832,-0.726077
16.6579,-0.727875
17.2326,-0.729674
17.9803,-0.719586
18.7279,-0.709497
19.4756,-0.699409
20.2232,-0.689321
20.9709,-0.679233
21.7185,-0.669144
22.1187,-0.67212
22.933,-0.689076
23.7472,-0.706031
24.5615,-0.722987
25.3757,-0.739943
26.19,-0.756898
27.0435,-0.762166
27.899,-0.770519
28.7545,-0.778871
29.61,-0.787223
30.8815,-0.81264
31.737,-0.820993
32.6351,-0.841335
33.5332,-0.861677
34.4313,-0.88202
35.3294,-0.902362
36.2275,-0.922704
37.1256,-0.943047
37.8376,-0.920692
38.5495,-0.898337
39.2615,-0.875982
39.9735,-0.853626
40.6855,-0.831271
41.3975,-0.808916
41.6368,-0.812808
42.0726,-0.830445
42.5084,-0.848082
42.9442,-0.865719
43.3799,-0.883356
44.0122,-0.914738
44.436,-0.907372
45.0309,-0.906869
45.4547,-0.899503
46.0496,-0.899
46.3024,-0.88477
46.5552,-0.870539
47.0245,-0.997235
47.4938,-1.12393
47.963,-1.25063
48.4323,-1.37732
48.9016,-1.50402
49.1283,-1.56593
49.5352,-1.77383
49.6995,-1.91694
49.8638,-2.06005
50.0281,-2.20316
50.3513,-2.45426
50.6745,-2.70535
50.9636,-2.92007
51.2527,-3.13479
51.5418,-3.34951
51.8309,-3.56423
51.9611,-3.67097
52.0913,-3.7777
52.194,-3.91765
52.2967,-4.0576
52.3993,-4.19755
52.502,-4.3375
52.6047,-4.47744
52.7073,-4.61739
52.7727,-4.85769
52.8381,-5.09799
52.8993,-5.5817
52.9606,-6.0654
53.026,-6.3057
53.0872,-6.7894
53.1154,-7.19199
53.1435,-7.59458
53.1758,-7.75376
53.204,-8.15635
53.2363,-8.31554
53.2685,-8.47472
53.1673,-8.90932
53.0662,-9.34392
53.0007,-9.52251
52.8995,-9.95711
52.7984,-10.3917
52.7329,-10.5703
52.5821,-11.0498
52.4312,-11.5293
52.3161,-11.7528
52.201,-11.9764
52.0859,-12.1999
51.9708,-12.4234
51.7072,-12.6299
51.4435,-12.8364
51.055,-13.1063
50.5416,-13.4396
49.7657,-13.9292
49.2267,-14.3213
48.722,-14.6002
48.355,-14.7864
48.1256,-14.8798
47.8962,-14.9732
47.6669,-15.0667
47.4375,-15.1601
47.2641,-15.1652
47.0906,-15.1704
46.9172,-15.1755
46.7437,-15.1806
46.5702,-15.1858
46.3968,-15.1909
46.0927,-15.1667
43.9559,-14.8345
43.3559,-14.8634
42.7559,-14.8922
42.1559,-14.9211
41.8518,-14.8968
41.6288,-14.9151
41.0199,-14.9294
40.6039,-14.9457
40.188,-14.962
39.772,-14.9783
39.3561,-14.9945
39.0379,-14.9339
38.7198,-14.8732
38.4016,-14.8125
38.0835,-14.7518
37.9349,-14.6972
37.6168,-14.6365
36.8557,-14.7147
36.4374,-14.7894
35.8459,-14.8738
34.9361,-15.0705
34.4453,-15.1965
33.9545,-15.3225
32.601,-16.1528
32.1385,-16.5428
31.4762,-17.092
31.2134,-17.323
30.7228,-17.699
30.2321,-18.0749
29.8096,-18.3204
29.387,-18.566
28.9645,-18.8115
28.542,-19.057
28.1072,-19.3285
27.6725,-19.6
27.5507,-19.7165
27.1889,-20.0039
27.0672,-20.1204
26.7053,-20.4078
26.5836,-20.5243
26.2218,-20.8116
25.6374,-21.2692
25.2932,-21.5558
24.9489,-21.8424
24.7872,-21.9423
24.443,-22.2289
24.0987,-22.5155
23.9605,-22.6086
23.6397,-22.8886
23.5015,-22.9817
23.3632,-23.0748
23.225,-23.168
23.0868,-23.2611
22.8588,-23.3839
22.4593,-23.5586
22.0598,-23.7332
21.4887,-23.9596
21.0892,-24.1342
20.6897,-24.3088
20.3823,-24.273
20.0748,-24.2372
19.7673,-24.2015
19.4599,-24.1657
19.1524,-24.1299
